context_id,vignette_id,mean_rating,weight_all30,weight_within_game,source_id_context,game_context,frame,source_id_vignette,game_vignette,setting,setting_code,sender_category,sender_action,receiver_action,joint_action,matching_game
T04,V05,83.66666666666667,0.052880281430717775,0.08250549438967665,UG_CONTROL,UG,Control,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D,D-D,True
T04,V08,83.66666666666667,0.05292819948638764,0.08253374789545216,UG_CONTROL,UG,Control,UG-C-CC-P,UG,personal,P,Cooperation,C,C,C-C,True
T04,V09,84.0,0.05310001335776678,0.082839495725682,UG_CONTROL,UG,Control,UG-S-DC-K,UG,anonymous market,K,Self-interest,D,C,D-C,True
T04,V10,84.33333333333333,0.053382178309665275,0.08320892971593379,UG_CONTROL,UG,Control,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C,C-C,True
T04,V12,86.0,0.05443291988924041,0.084850682890185,UG_CONTROL,UG,Control,UG-S-DD-P,UG,personal,P,Self-interest,D,D,D-D,True
T04,V13,84.0,0.053186405410451214,0.08288905513281619,UG_CONTROL,UG,Control,UG-M-CC-K,UG,anonymous market,K,Moral,C,C,C-C,True
T04,V14,83.0,0.05252720962930421,0.08188705112480016,UG_CONTROL,UG,Control,UG-M-CD-K,UG,anonymous market,K,Moral,C,D,C-D,True
T04,V15,85.33333333333333,0.05397894106596277,0.08417550106970338,UG_CONTROL,UG,Control,UG-M-CD-P,UG,personal,P,Moral,C,D,C-D,True
T04,V20,86.33333333333333,0.054638136847109775,0.08517750507771941,UG_CONTROL,UG,Control,UG-M-CC-P,UG,personal,P,Moral,C,C,C-C,True
T04,V21,83.33333333333333,0.05272298252851828,0.08220692570791775,UG_CONTROL,UG,Control,UG-C-CD-K,UG,anonymous market,K,Cooperation,C,D,C-D,True
T04,V23,83.66666666666667,0.05294271445556727,0.08254092704392309,UG_CONTROL,UG,Control,UG-C-CD-P,UG,personal,P,Cooperation,C,D,C-D,True
T04,V27,86.33333333333333,0.0546526518162894,0.08518468422619035,UG_CONTROL,UG,Control,UG-S-DC-P,UG,personal,P,Self-interest,D,C,D-C,True
T05,V02,81.33333333333333,0.05448336920252527,0.1628081781465768,DG_CONTROL,DG,Control,DG-S-K,DG,anonymous market,K,Self-interest,D,None,D-NA,True
T05,V04,83.33333333333333,0.05583054074036775,0.1668210551813404,DG_CONTROL,DG,Control,DG-S-P,DG,personal,P,Self-interest,D,None,D-NA,True
T05,V07,87.0,0.05832980527434123,0.17425930001711828,DG_CONTROL,DG,Control,DG-M-P,DG,personal,P,Moral,C,None,C-NA,True
T05,V17,82.33333333333333,0.05525945167036148,0.16497330650209643,DG_CONTROL,DG,Control,DG-C-K,DG,anonymous market,K,Cooperation,C,None,C-NA,True
T05,V22,83.66666666666667,0.05612104270343012,0.16760986474222553,DG_CONTROL,DG,Control,DG-C-P,DG,personal,P,Cooperation,C,None,C-NA,True
T05,V28,81.66666666666667,0.054720854496739135,0.1635282954106425,DG_CONTROL,DG,Control,DG-M-K,DG,anonymous market,K,Moral,C,None,C-NA,True
T08,V01,89.66666666666667,0.0547732514746716,0.08418773812836579,TG_CONTROL,TG,Control,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,True
T08,V03,86.66666666666667,0.052910496819817264,0.08136080655003829,TG_CONTROL,TG,Control,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,True
T08,V06,89.66666666666667,0.05482824788034832,0.0842141395184564,TG_CONTROL,TG,Control,TG-M-CC-K,TG,anonymous market,K,Moral,C,C,C-C,True
T08,V11,88.66666666666667,0.05416177204172721,0.0832530715248329,TG_CONTROL,TG,Control,TG-S-DC-K,TG,anonymous market,K,Self-interest,D,C,D-C,True
T08,V16,88.33333333333333,0.05392087221703653,0.08291904952725311,TG_CONTROL,TG,Control,TG-C-CD-P,TG,personal,P,Cooperation,C,D,C-D,True
T08,V18,90.33333333333333,0.05525464204746156,0.08485091658718359,TG_CONTROL,TG,Control,TG-M-CC-P,TG,personal,P,Moral,C,C,C-C,True
T08,V19,89.0,0.054374764586988124,0.08356902729102562,TG_CONTROL,TG,Control,TG-C-CD-K,TG,anonymous market,K,Cooperation,C,D,C-D,True
T08,V24,87.66666666666667,0.05352238532935305,0.08230033868991293,TG_CONTROL,TG,Control,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D,D-D,True
T08,V25,89.0,0.05440226278982649,0.08358222798607091,TG_CONTROL,TG,Control,TG-M-CD-K,TG,anonymous market,K,Moral,C,D,C-D,True
T08,V26,90.33333333333333,0.05519923656519343,0.08481964966075127,TG_CONTROL,TG,Control,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C,C-C,True
T08,V29,89.33333333333333,0.054615255335087404,0.08389818375226366,TG_CONTROL,TG,Control,TG-M-CD-P,TG,personal,P,Moral,C,D,C-D,True
T08,V30,86.33333333333333,0.05269750427455635,0.08104485078384555,TG_CONTROL,TG,Control,TG-S-DD-P,TG,personal,P,Self-interest,D,D,D-D,True
