context_id,vignette_id,mean_rating,weight_all30,weight_within_game,source_id_context,game_context,frame,source_id_vignette,game_vignette,setting,setting_code,sender_category,sender_action,receiver_action,joint_action,matching_game
T01,V01,29.0,0.0188753811201652,,UG_MARKET,UG,Market,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,False
T01,V02,50.666666666666664,0.032948952992923504,,UG_MARKET,UG,Market,DG-S-K,DG,anonymous market,K,Self-interest,D,None,D-NA,False
T01,V03,27.0,0.01757084603561661,,UG_MARKET,UG,Market,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,False
T01,V04,33.666666666666664,0.021719690238921757,,UG_MARKET,UG,Market,DG-S-P,DG,personal,P,Self-interest,D,None,D-NA,False
T01,V05,89.33333333333333,0.058272196006486865,0.09805537645842122,UG_MARKET,UG,Market,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D,D-D,True
T01,V06,33.0,0.021433972823675467,,UG_MARKET,UG,Market,TG-M-CC-K,TG,anonymous market,K,Moral,C,C,C-C,False
T01,V07,37.0,0.023936402713375108,,UG_MARKET,UG,Market,DG-M-P,DG,personal,P,Moral,C,None,C-NA,False
T01,V08,73.66666666666667,0.04807668262757515,0.08078503128911722,UG_MARKET,UG,Market,UG-C-CC-P,UG,personal,P,Cooperation,C,C,C-C,True
T01,V09,90.0,0.05872975720529721,0.09877531886302886,UG_MARKET,UG,Market,UG-S-DC-K,UG,anonymous market,K,Self-interest,D,C,D-C,True
T01,V10,72.0,0.04696832639034848,0.07893933286208277,UG_MARKET,UG,Market,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C,C-C,True
T01,V11,34.333333333333336,0.022313548461496968,,UG_MARKET,UG,Market,TG-S-DC-K,TG,anonymous market,K,Self-interest,D,C,D-C,False
T01,V12,72.66666666666667,0.0475209545049008,0.07990352800736567,UG_MARKET,UG,Market,UG-S-DD-P,UG,personal,P,Self-interest,D,D,D-D,True
T01,V13,78.0,0.05083734319383917,0.0854648370256219,UG_MARKET,UG,Market,UG-M-CC-K,UG,anonymous market,K,Moral,C,C,C-C,True
T01,V14,78.0,0.05083734319383917,0.0854648370256219,UG_MARKET,UG,Market,UG-M-CD-K,UG,anonymous market,K,Moral,C,D,C-D,True
T01,V15,68.0,0.04440384467140637,0.07463861434322624,UG_MARKET,UG,Market,UG-M-CD-P,UG,personal,P,Moral,C,D,C-D,True
T01,V16,28.0,0.01819198432966561,,UG_MARKET,UG,Market,TG-C-CD-P,TG,personal,P,Cooperation,C,D,C-D,False
T01,V17,46.333333333333336,0.030057678751118328,,UG_MARKET,UG,Market,DG-C-K,DG,anonymous market,K,Cooperation,C,None,C-NA,False
T01,V18,29.0,0.018821957646862366,,UG_MARKET,UG,Market,TG-M-CC-P,TG,personal,P,Moral,C,C,C-C,False
T01,V19,34.0,0.022058056125440383,,UG_MARKET,UG,Market,TG-C-CD-K,TG,anonymous market,K,Cooperation,C,D,C-D,False
T01,V20,69.66666666666667,0.045547747668432226,0.07643847035474532,UG_MARKET,UG,Market,UG-M-CC-P,UG,personal,P,Moral,C,C,C-C,True
T01,V21,73.0,0.04764583316541623,0.08009942566950735,UG_MARKET,UG,Market,UG-C-CD-K,UG,anonymous market,K,Cooperation,C,D,C-D,True
T01,V22,37.333333333333336,0.02413847157612886,,UG_MARKET,UG,Market,DG-C-P,DG,personal,P,Cooperation,C,None,C-NA,False
T01,V23,74.0,0.0483025182192644,0.08117172889159209,UG_MARKET,UG,Market,UG-C-CD-P,UG,personal,P,Cooperation,C,D,C-D,True
T01,V24,33.333333333333336,0.02163015167099738,,UG_MARKET,UG,Market,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D,D-D,False
T01,V25,32.333333333333336,0.020979356632581044,,UG_MARKET,UG,Market,TG-M-CD-K,TG,anonymous market,K,Moral,C,D,C-D,False
T01,V26,35.0,0.022741452915939972,,UG_MARKET,UG,Market,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C,C-C,False
T01,V27,73.0,0.047749735104305975,0.08026349920966948,UG_MARKET,UG,Market,UG-S-DC-P,UG,personal,P,Self-interest,D,C,D-C,True
T01,V28,50.0,0.03244091332852626,,UG_MARKET,UG,Market,DG-M-K,DG,anonymous market,K,Moral,C,None,C-NA,False
T01,V29,28.0,0.018135615848646855,,UG_MARKET,UG,Market,TG-M-CD-P,TG,personal,P,Moral,C,D,C-D,False
T01,V30,26.333333333333332,0.017113284836806273,,UG_MARKET,UG,Market,TG-S-DD-P,TG,personal,P,Self-interest,D,D,D-D,False
T02,V01,83.33333333333333,0.04862814698056014,0.08438899384779346,TG_BONUS,TG,Bonus,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,True
T02,V02,48.0,0.02795942337597045,,TG_BONUS,TG,Bonus,DG-S-K,DG,anonymous market,K,Self-interest,D,None,D-NA,False
T02,V03,77.33333333333333,0.045104318051097124,0.07829998408315514,TG_BONUS,TG,Bonus,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,True
T02,V04,37.333333333333336,0.021713200177450973,,TG_BONUS,TG,Bonus,DG-S-P,DG,personal,P,Self-interest,D,None,D-NA,False
